accuracy,epoch
0.51776,1
0.54512,2
0.56988,3
0.50228,4
0.575,5
0.57836,6
0.58,7
0.58748,8
0.59136,9
0.60272,10
0.60912,11
0.6234,12
0.63424,13
0.67608,14
0.71372,15
0.76552,16
0.7408,17
0.75052,18
0.77384,19
0.76496,20
0.7406,21
0.74896,22
0.749,23
0.74928,24
0.74596,25
0.75236,26
0.74536,27
0.74044,28
0.74412,29
0.7416,30
0.73704,31
0.7426,32
0.73084,33
0.71596,34
0.73984,35
0.73608,36
0.72184,37
0.66612,38
0.62988,39
0.73812,40
0.74948,41
0.7364,42
0.7318,43
0.73792,44
0.72628,45
0.72744,46
0.7212,47
0.71328,48
0.72064,49
0.71312,50
